snapshot_date,sku,product_name,category,supplier_id,unit_cost,unit_price,stock_on_hand,reorder_point
2026-01-17,PLA-BLK-1KG,PLA Negro 1kg,FILAMENT_PLA,SUP-A,220.00,349.00,14,6
2026-01-17,PLA-WHT-1KG,PLA Blanco 1kg,FILAMENT_PLA,SUP-A,220.00,349.00,5,6
2026-01-17,PETG-CLR-1KG,PETG Transparente 1kg,FILAMENT_PETG,SUP-A,260.00,399.00,3,5
2026-01-17,ABS-GRY-1KG,ABS Gris 1kg,FILAMENT_ABS_ASA,SUP-B,280.00,459.00,7,4
2026-01-17,RES-STD-1L,Resina Standard 1L,RESIN,SUP-C,520.00,799.00,2,2
2026-01-17,NOZ-0.4-BRS,Boquilla Latón 0.4mm,NOZZLES,SUP-D,35.00,69.00,36,15
2026-01-17,SPARE-BLT-GT2,Banda GT2 Repuesto,SPARES,SUP-E,45.00,89.00,11,6
2026-01-17,TOOL-HEX-SET,Set Llaves Allen,TOOLS,SUP-F,110.00,189.00,7,4
2026-01-17,ADH-GLUE-STK,Glue Stick,ADHESIVES,SUP-F,18.00,39.00,24,12
2026-01-17,ELC-THERM-NTC,Termistor NTC,ELECTRONICS,SUP-E,22.00,49.00,12,8
2026-01-17,UPG-PEI-SHEET,Lámina PEI,UPGRADES,SUP-B,260.00,399.00,1,2
2026-01-17,ABS-NEG-1KG,ABS Negro 1kg,FILAMENT_ABS_ASA,SUP-B,280.00,459.00,0,4
2026-01-17,RES-NEG-1L,Resina Negra 1L,RESIN,SUP-C,520.00,849.00,0,2
2026-01-17, ,SKU vacío,FILAMENT_PLA,SUP-A,220.00,349.00,4,6
